Assemblies	megahit_ancient_contigs	megahit_modern_contigs	metaspades_ancient_contigs	metaspades_modern_contigs	Plantmix_ancient_carpedeam	Plantmix_modern_carpedeam
Dryas_octopetala_plstd	20090	22872	1397	27755	1012	301017
Betula_nana_plstd	23854	23832	0	27780	0	304521
Populus_alba_plstd	4324	6194	1404	8803	0	236341
Crataegus_laevigata_plstd	2840	1516	0	8544	0	50487
Vaccinium_vitis-idaea_plstd	2594	5618	-	2740	0	22789
Carex_divulsa_plstd	4995	4776	-	2158	-	25118
Carex_pendula_plstd	2602	2368	-	2158	-	18245
Salix_dunnii_plstd	0	3634	1404	7929	0	146678
