Assemblies	megahit_ancient_contigs	megahit_modern_contigs	metaspades_ancient_contigs	metaspades_modern_contigs	Plantmix_ancient_carpedeam	Plantmix_modern_carpedeam
Dryas_octopetala_plstd	72	66	8	74	84	255
Betula_nana_plstd	74	78	4	63	73	248
Populus_alba_plstd	51	45	4	35	30	281
Crataegus_laevigata_plstd	12	11	5	8	11	41
Vaccinium_vitis-idaea_plstd	18	16	-	9	3	59
Carex_divulsa_plstd	35	42	-	24	-	88
Carex_pendula_plstd	9	9	-	5	-	52
Salix_dunnii_plstd	31	21	4	10	18	206
