Assemblies	megahit_ancient_contigs	megahit_modern_contigs	metaspades_ancient_contigs	metaspades_modern_contigs	Plantmix_ancient_carpedeam	Plantmix_modern_carpedeam
Dryas_octopetala_plstd	58764	55894	5606	65604	53756	365040
Betula_nana_plstd	61531	64691	2252	56614	44237	356196
Populus_alba_plstd	36510	33621	3207	29910	19214	328197
Crataegus_laevigata_plstd	9516	8391	3127	11752	7375	58759
Vaccinium_vitis-idaea_plstd	13098	13671	-	7250	1679	52777
Carex_divulsa_plstd	26026	30183	-	17329	-	72098
Carex_pendula_plstd	7048	6802	-	4123	-	44525
Salix_dunnii_plstd	20240	15769	3207	12879	11932	223139
