Assemblies	megahit_ancient_contigs	megahit_modern_contigs	metaspades_ancient_contigs	metaspades_modern_contigs	Plantmix_ancient_carpedeam	Plantmix_modern_carpedeam
Dryas_octopetala_plstd	523.11	541.77	465.37	454.69	568.40	1548.16
Betula_nana_plstd	366.30	659.51	801.78	310.93	936.67	1706.99
Populus_alba_plstd	652.80	720.32	406.38	590.45	1067.58	1659.64
Crataegus_laevigata_plstd	1708.29	1406.77	802.05	929.32	1293.22	2200.60
Vaccinium_vitis-idaea_plstd	944.53	798.33	-	0.00	385.80	1377.51
Carex_divulsa_plstd	397.47	254.63	-	218.02	-	1563.36
Carex_pendula_plstd	1487.86	1460.89	-	1392.04	-	2484.64
Salix_dunnii_plstd	1506.18	1386.99	468.90	1125.64	1322.63	2006.90
