Species	Read count	Fraction of eukaryote reads
Polygonum aviculare	63918	0.5079
Polygonum maritimum	34765	0.2763
Colletotrichum falcatum	21998	0.1748
Arapaima gigas	300	0.0024
Arctopsyche grandis	264	0.0021
