Species	Read count	Fraction of eukaryote reads
Cyperus iria	35373	0.3925
Cyperus esculentus	24506	0.2719
Colletotrichum falcatum	7442	0.0826
Halenospora varia	5324	0.0591
Cyperus rotundus	2005	0.0222
