Assemblies	megahit_ancient_contigs	merciless
Dryas_octopetala	35.977	35.968
Betula_nana_plstd	37.258	37.258
Populus_alba_plstd	22.264	22.264
Crataegus_laevigata_plstd	5.319	5.319
Vaccinium_vitis-idaea_plstd	6.021	6.021
Carex_divulsa_plstd	13.682	13.696
Carex_pendula_plstd	2.385	2.394
Salix_dunnii_plstd	12.309	12.309
