Assemblies	megahit_ancient_contigs	merciless
Dryas_octopetala	57.54	57.54
Betula_nana_plstd	34.97	34.97
Populus_alba_plstd	59.60	59.60
Crataegus_laevigata_plstd	212.06	212.06
Vaccinium_vitis-idaea_plstd	46.30	46.30
Carex_divulsa_plstd	43.72	43.72
Carex_pendula_plstd	156.62	156.62
Salix_dunnii_plstd	202.56	202.56
