Assemblies	megahit_ancient_contigs	merciless
Dryas_octopetala	523.11	523.11
Betula_nana_plstd	366.30	366.30
Populus_alba_plstd	652.80	652.80
Crataegus_laevigata_plstd	1708.29	1708.29
Vaccinium_vitis-idaea_plstd	944.53	944.53
Carex_divulsa_plstd	397.47	397.47
Carex_pendula_plstd	1487.86	1487.86
Salix_dunnii_plstd	1506.18	1506.18
