Assemblies	megahit_ancient_contigs	merciless
Dryas_octopetala	58764	58764
Betula_nana_plstd	61531	61531
Populus_alba_plstd	36510	36510
Crataegus_laevigata_plstd	9516	9516
Vaccinium_vitis-idaea_plstd	13098	13098
Carex_divulsa_plstd	26026	26026
Carex_pendula_plstd	7048	7048
Salix_dunnii_plstd	20240	20240
