Assemblies	megahit_ancient_contigs	merciless
Dryas_octopetala	1.008	1.008
Betula_nana_plstd	1.004	1.004
Populus_alba_plstd	1.011	1.011
Crataegus_laevigata_plstd	0.998	0.998
Vaccinium_vitis-idaea_plstd	1.001	1.001
Carex_divulsa_plstd	1.000	0.999
Carex_pendula_plstd	1.010	1.006
Salix_dunnii_plstd	1.005	1.005
