Assemblies	megahit_ancient_contigs	merciless
Dryas_octopetala	72	72
Betula_nana_plstd	74	74
Populus_alba_plstd	51	51
Crataegus_laevigata_plstd	12	12
Vaccinium_vitis-idaea_plstd	18	18
Carex_divulsa_plstd	35	35
Carex_pendula_plstd	9	9
Salix_dunnii_plstd	31	31
