Assemblies	megahit_ancient_contigs	merciless
Dryas_octopetala	20090	20090
Betula_nana_plstd	23854	23854
Populus_alba_plstd	4324	4324
Crataegus_laevigata_plstd	2840	2840
Vaccinium_vitis-idaea_plstd	2594	2594
Carex_divulsa_plstd	4995	4995
Carex_pendula_plstd	2602	2602
Salix_dunnii_plstd	0	0
